scorer,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000
bodyparts,white,white,white,purple,purple,purple,red,red,red,start_tip,start_tip,start_tip,end_tip,end_tip,end_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
13,144.15731811523438,226.97018432617188,0.9999978542327881,217.40814208984375,228.78343200683594,0.999958872795105,497.6701965332031,157.569580078125,0.9999841451644897,536.4603881835938,288.4270324707031,0.9982038736343384,591.8237915039062,283.2024230957031,0.9998801946640015
14,144.15261840820312,226.9778289794922,0.9999977350234985,217.4214630126953,228.84970092773438,0.9999637603759766,497.61016845703125,157.48976135253906,0.9999844431877136,536.8497924804688,288.3974304199219,0.9979559183120728,592.0263671875,283.3157653808594,0.9998583793640137
15,144.0426025390625,226.9582061767578,0.999998152256012,217.4066162109375,228.69143676757812,0.9999731779098511,497.89996337890625,157.60850524902344,0.9999819993972778,536.62646484375,288.4531555175781,0.9981623888015747,591.9918212890625,283.26251220703125,0.9998550415039062
16,144.1807403564453,226.8789825439453,0.999997615814209,216.31304931640625,229.1592559814453,0.999957263469696,497.60870361328125,157.5718231201172,0.9999838471412659,536.535888671875,288.42401123046875,0.9982618689537048,591.818115234375,283.1841125488281,0.9998846650123596
17,144.14505004882812,227.07098388671875,0.9999978542327881,217.50172424316406,228.86013793945312,0.999964714050293,497.7271728515625,157.58538818359375,0.9999837875366211,536.4591064453125,288.44305419921875,0.9981337189674377,591.891357421875,283.24462890625,0.9998645782470703
18,144.0540008544922,226.9561767578125,0.9999979734420776,217.46609497070312,228.63104248046875,0.9999701976776123,497.83758544921875,157.56065368652344,0.9999842643737793,536.45703125,288.460693359375,0.9982991218566895,591.8500366210938,283.2579650878906,0.9998632669448853
19,144.1863250732422,226.87155151367188,0.9999974966049194,216.4632568359375,229.10452270507812,0.9999583959579468,497.8111267089844,157.61172485351562,0.9999828338623047,536.3106689453125,288.4427490234375,0.9983559846878052,591.8138427734375,283.1768798828125,0.9998817443847656
20,144.1183624267578,227.00367736816406,0.9999978542327881,216.536376953125,229.177490234375,0.9999668598175049,497.6673583984375,157.62086486816406,0.9999856948852539,536.3432006835938,288.4888916015625,0.9982030987739563,591.8888549804688,283.1122131347656,0.9998557567596436
21,144.06076049804688,227.01429748535156,0.999998152256012,216.6609344482422,229.00030517578125,0.9999710321426392,497.7891845703125,157.6856689453125,0.9999842047691345,536.6200561523438,288.4075012207031,0.9980903267860413,591.9548950195312,283.2044677734375,0.9998797178268433
22,144.1648712158203,226.94061279296875,0.9999976754188538,216.6444091796875,229.21878051757812,0.9999662637710571,497.7872009277344,157.58657836914062,0.999984622001648,536.6893310546875,288.39111328125,0.9981895685195923,591.7930908203125,283.24017333984375,0.9998906850814819
